DATE,START,END
14/02/2024,2,187
15/02/2024,188,384
16/02/2024,2,137
17/02/2024,138,330
18/02/2024,,
19/02/2024,,207
20/02/2024,208,368
21/02/2024,369,523
22/02/2024,524,670
23/02/2024,2,226
24/02/2024,227,509
25/02/2024,,
26/02/2024,2,308
27/02/2024,310,489
28/02/2024,489,641
29/02/2024,2,248
01/03/2024,249,392
02/03/2024,392,635
03/03/2024,,
04/03/2024,2,205
05/03/2024,206,390
06/03/2024,2,253
07/03/2024,254,538
08/03/2024,2,238
09/03/2024,239,462
10/03/2024,,
11/03/2024,1,259
12/03/2024,260,482
13/03/2024,,245
14/03/2024,246,426
15/03/2024,427,628
16/03/2024,,165
17/03/2024,,
18/03/2024,166,319
19/03/2024,320,477
20/03/2024,478,638
21/03/2024,,179
22/03/2024,180,366
23/03/2024,367,580
24/03/2024,,
25/03/2024,580,718
26/03/2024,,258
27/03/2024,258,592
28/03/2024,,234
29/03/2024,234,481
30/03/2024,481,629
03/31/2024,,
