date,verse,audio
2/14/2024,1:1-25,Mt 1-2.mp3
2/15/2024,2:1-23,Mt 1-2.mp3
2/16/2024,3:1-17,Mt 3-4.mp3
2/17/2024,4:1-25,Mt 3-4.mp3
2/19/2024,5:1-26,Mt 5-6.mp3
2/20/2024,5:27-48,Mt 5-6.mp3
2/21/2024,6:1-18,Mt 5-6.mp3
2/22/2024,6:19-34,Mt 5-6.mp3
2/23/2024,7:1-29,Mt 7-8.mp3
2/24/2024,8:1-34,Mt 7-8.mp3
2/26/2024,9:1-38,Mt 9-10.mp3
2/27/2024,10:1-23,Mt 9-10.mp3
2/28/2024,10:24-42,Mt 9-10.mp3
2/29/2024,11:1-30,Mt 11-12.mp3
3/1/2024,12:1-21,Mt 11-12.mp3
3/2/2024,12:22-50,Mt 11-12.mp3
3/4/2024,13:1-30,Mt 13.mp3
3/5/2024,13:31-58,Mt 13.mp3
3/6/2024,14:1-36,Mt 14-15.mp3
3/7/2024,15:1-39,Mt 14-15.mp3
3/8/2024,16:1-28,Mt 16-17.mp3
3/9/2024,17:1-27,Mt 16-17.mp3
3/11/2024,18:1-35,Mt 18-19.mp3
3/12/2024,19:1-30,Mt 18-19.mp3
3/13/2024,20:1-34,Mt 20-21.mp3
3/14/2024,21:1-22,Mt 20-21.mp3
3/15/2024,21:23-46,Mt 20-21.mp3
3/16/2024,22:1-22,Mt 22-23.mp3
3/18/2024,22:23-46,Mt 22-23.mp3
3/19/2024,23:1-22,Mt 22-23.mp3
3/20/2024,23:23-39,Mt 22-23.mp3
3/21/2024,24:1-25,Mt 24-25.mp3
3/22/2024,24:26-51,Mt 24-25.mp3
3/23/2024,25:1-30,Mt 24-25.mp3
3/25/2024,25:31-45,Mt 24-25.mp3
3/26/2024,26:1-35,Mt 26.mp3
3/27/2024,26:36-75,Mt 26.mp3
3/28/2024,27:1-31,Mt 27-28.mp3
3/29/2024,27:32-66,Mt 27-28.mp3
3/30/2024,28:1-20,Mt 27-28.mp3
